[ T-Track ]
    title = Espectro de energia
     mesh =  reg            # mesh type is region-wise
      reg = 700
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      700   1.0053E+02 # 700
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energy_hamster_A.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    700

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   1.8224E-04  1.0000   1.5756E+02  0.1290   0.0000E+00  0.0000   5.0855E+02  0.0699   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   2.4902E-04  1.0000   3.5437E+01  0.1899   0.0000E+00  0.0000   3.0076E+02  0.0778   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   3.4744E-04  1.0000   3.6353E+01  0.1939   0.0000E+00  0.0000   2.0011E+02  0.0983   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   4.3671E-04  1.0000   2.9219E+01  0.2275   0.0000E+00  0.0000   1.3969E+02  0.1085   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   5.1851E-04  1.0000   2.3376E+01  0.2702   0.0000E+00  0.0000   1.2618E+02  0.1228   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   5.9543E-04  1.0000   2.1061E+01  0.2544   0.0000E+00  0.0000   1.2103E+02  0.1187   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   6.6905E-04  1.0000   1.7253E+01  0.2856   0.0000E+00  0.0000   4.8833E+01  0.2078   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   7.4029E-04  1.0000   1.6187E+01  0.3751   0.0000E+00  0.0000   3.7129E+01  0.2200   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   8.0971E-04  1.0000   2.2302E+01  0.2524   0.0000E+00  0.0000   2.9649E+01  0.2339   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   8.7768E-04  1.0000   1.8581E+01  0.2737   0.0000E+00  0.0000   4.5237E+01  0.2381   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   9.4445E-04  1.0000   8.3555E+00  0.4036   0.0000E+00  0.0000   3.1984E+01  0.2474   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   1.0102E-03  1.0000   1.4135E+01  0.3240   0.0000E+00  0.0000   5.0070E+01  0.1853   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   1.0751E-03  1.0000   8.6189E+00  0.3788   0.0000E+00  0.0000   3.7696E+01  0.2176   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   1.1391E-03  1.0000   6.7285E+00  0.4267   0.0000E+00  0.0000   3.5628E+01  0.2446   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   1.2025E-03  1.0000   9.1536E+00  0.3653   0.0000E+00  0.0000   3.8013E+01  0.2364   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   1.2653E-03  1.0000   5.2848E+00  0.5275   0.0000E+00  0.0000   3.5258E+01  0.2325   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   1.3275E-03  1.0000   6.4017E+00  0.4245   0.0000E+00  0.0000   9.9272E+00  0.4155   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   1.3891E-03  1.0000   9.7008E+00  0.3927   0.0000E+00  0.0000   3.8233E+01  0.2354   0.0000E+00  0.0000
   4.5000E+00   4.7500E+00   1.4503E-03  1.0000   1.6800E+01  0.2764   0.0000E+00  0.0000   2.9272E+01  0.2546   0.0000E+00  0.0000
   4.7500E+00   5.0000E+00   1.5110E-03  1.0000   3.5345E+00  0.6741   0.0000E+00  0.0000   1.8389E+01  0.4091   0.0000E+00  0.0000
   5.0000E+00   5.2500E+00   1.5714E-03  1.0000   1.1772E+01  0.3726   0.0000E+00  0.0000   1.0422E+01  0.4193   0.0000E+00  0.0000
