[ T-Track ]
    title = Espectro de energia
     mesh =  reg            # mesh type is region-wise
      reg = 700
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      700   1.0000E+00 # 700
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = energy_hamster_L.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    700

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   1.6313E-02  1.0000   1.7466E+04  0.1207   0.0000E+00  0.0000   4.9479E+04  0.0665   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   2.2290E-02  1.0000   3.3410E+03  0.1839   0.0000E+00  0.0000   3.1377E+04  0.0719   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   3.1100E-02  1.0000   3.5895E+03  0.1819   0.0000E+00  0.0000   1.9897E+04  0.0925   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   3.9090E-02  1.0000   2.8244E+03  0.2168   0.0000E+00  0.0000   1.4327E+04  0.1022   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   4.6413E-02  1.0000   2.5339E+03  0.2418   0.0000E+00  0.0000   1.2104E+04  0.1183   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   5.3298E-02  1.0000   2.3614E+03  0.2347   0.0000E+00  0.0000   1.2224E+04  0.1111   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   5.9888E-02  1.0000   1.5619E+03  0.2826   0.0000E+00  0.0000   5.0709E+03  0.1886   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   6.6264E-02  1.0000   1.4632E+03  0.3716   0.0000E+00  0.0000   3.9767E+03  0.2232   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   7.2478E-02  1.0000   2.0557E+03  0.2458   0.0000E+00  0.0000   3.1996E+03  0.2117   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   7.8563E-02  1.0000   1.7276E+03  0.2662   0.0000E+00  0.0000   4.7334E+03  0.2148   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   8.4539E-02  1.0000   8.4782E+02  0.3707   0.0000E+00  0.0000   2.9323E+03  0.2427   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   9.0425E-02  1.0000   1.2816E+03  0.3201   0.0000E+00  0.0000   4.9497E+03  0.1754   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   9.6231E-02  1.0000   8.5223E+02  0.3558   0.0000E+00  0.0000   3.8701E+03  0.2038   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   1.0197E-01  1.0000   6.0228E+02  0.4267   0.0000E+00  0.0000   3.8077E+03  0.2206   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   1.0764E-01  1.0000   8.1935E+02  0.3653   0.0000E+00  0.0000   3.5158E+03  0.2310   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   1.1326E-01  1.0000   5.6183E+02  0.4714   0.0000E+00  0.0000   3.7526E+03  0.2173   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   1.1883E-01  1.0000   7.3659E+02  0.3744   0.0000E+00  0.0000   8.8861E+02  0.4155   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   1.2434E-01  1.0000   1.0227E+03  0.3660   0.0000E+00  0.0000   3.6712E+03  0.2297   0.0000E+00  0.0000
