
Errors of cell definition in EPS Page No. =   1
Overlapped Cell IDs  x, y, z  coodinates
(Cells 0       0  indicate undefined region)
       2    2100     5.000001E-02 -1.013240E+01  1.218248E-01
       2    2100     5.000001E-02 -1.013240E+01  3.627829E-01
       2    2100     5.000001E-02 -1.013240E+01  6.037410E-01
       2    2100     5.000001E-02 -1.013240E+01  8.446990E-01
       2    2100     5.000001E-02 -1.013240E+01  1.085657E+00
       2    2100     5.000001E-02 -1.013240E+01  1.326615E+00
       2    2100     5.000001E-02 -1.013240E+01  1.567573E+00
       2    2100     5.000001E-02 -1.013240E+01  1.808531E+00
       2    2100     5.000001E-02 -1.013240E+01  2.049489E+00
       2    2100     5.000001E-02 -1.013240E+01  2.290448E+00
       2    2100     5.000001E-02 -1.013240E+01  2.531406E+00
       2    2100     5.000001E-02 -1.013240E+01  2.772364E+00
       2    2200     5.000001E-02 -1.013240E+01  6.145777E+00
       2    2200     5.000001E-02 -1.013240E+01  6.386735E+00
       2    2200     5.000001E-02 -1.013240E+01  6.627693E+00
       2    2200     5.000001E-02 -1.013240E+01  6.868651E+00
       2    2200     5.000001E-02 -1.013240E+01  7.109609E+00
       2    2200     5.000001E-02 -1.013240E+01  7.350567E+00
       2    2200     5.000001E-02 -1.013240E+01  7.591525E+00
       2    2200     5.000001E-02 -1.013240E+01  7.832483E+00
       2    2200     5.000001E-02 -1.013240E+01  8.073442E+00
       2    2200     5.000001E-02 -1.013240E+01  8.314400E+00
       2    2200     5.000001E-02 -1.013240E+01  8.555358E+00
       2    2200     5.000001E-02 -1.013240E+01  8.796316E+00
       2    2600     5.000001E-02 -1.013240E+01  1.891656E+01
       2    2600     5.000001E-02 -1.013240E+01  1.915751E+01
       2    2600     5.000001E-02 -1.013240E+01  1.939847E+01
       2    2600     5.000001E-02 -1.013240E+01  1.963943E+01
       2    2600     5.000001E-02 -1.013240E+01  1.988039E+01
       2    2300     5.000001E-02 -1.013240E+01  3.313308E+01
       2    2300     5.000001E-02 -1.013240E+01  3.337404E+01
       2    2300     5.000001E-02 -1.013240E+01  3.361500E+01
       2    2300     5.000001E-02 -1.013240E+01  3.385596E+01
       2    2300     5.000001E-02 -1.013240E+01  3.409691E+01
       2    2300     5.000001E-02 -1.013240E+01  3.433787E+01
       2    2300     5.000001E-02 -1.013240E+01  3.457883E+01
       2    2400     5.000001E-02 -1.013240E+01  3.481979E+01
       2    2400     5.000001E-02 -1.013240E+01  3.506075E+01
       2    2400     5.000001E-02 -1.013240E+01  3.530171E+01
       2    2400     5.000001E-02 -1.013240E+01  3.554266E+01
       2    2400     5.000001E-02 -1.013240E+01  3.578362E+01
       2    2400     5.000001E-02 -1.013240E+01  3.602458E+01
       2     103     5.000001E-02 -1.013240E+01  6.301188E+01
       2     103     5.000001E-02 -1.013240E+01  6.325284E+01
       2     103     5.000001E-02 -1.013240E+01  6.349380E+01
       2     103     5.000001E-02 -1.013240E+01  6.373476E+01
       2     103     5.000001E-02 -1.013240E+01  6.397572E+01
       2     103     5.000001E-02 -1.013240E+01  6.421668E+01
       2     103     5.000001E-02 -1.013240E+01  6.445763E+01
       2    6007     5.000001E-02 -1.013240E+01  9.578218E+01
       2    6007     5.000001E-02 -1.013240E+01  9.602314E+01
