[ T-Track ]
    title = Espectro de energia
     mesh =  reg            # mesh type is region-wise
      reg = 700
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      700   1.0053E+02 # 700
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ./out/energy_hamster_L.out  # file name of output for the above axis
     part =  proton     neutron    alpha      photon     positron 
# kf/name :  2212       2112       2000004    22         -11      
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    700

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  y(neutron ),hh0dr n  y(alpha   ),hh0ub n  y(photon  ),hh0mg n  y(positron),hh0qrr n  
#  e-lower      e-upper        proton    r.err      neutron   r.err      alpha     r.err      photon    r.err      positron  r.err 
   1.0000E-09   2.5000E-01   7.9461E-03  0.2301   5.7800E+02  0.1152   0.0000E+00  0.0000   4.3326E+03  0.0359   0.0000E+00  0.0000
   2.5000E-01   5.0000E-01   1.0005E-02  0.2325   1.5479E+02  0.1393   0.0000E+00  0.0000   2.4561E+03  0.0438   0.0000E+00  0.0000
   5.0000E-01   7.5000E-01   1.3170E-02  0.2425   1.7412E+02  0.1338   0.0000E+00  0.0000   1.3254E+03  0.0566   0.0000E+00  0.0000
   7.5000E-01   1.0000E+00   1.6554E-02  0.2425   1.3002E+02  0.1726   0.0000E+00  0.0000   1.4758E+03  0.0571   0.0000E+00  0.0000
   1.0000E+00   1.2500E+00   1.8191E-02  0.2500   9.0896E+01  0.1951   0.0000E+00  0.0000   7.4170E+02  0.0791   0.0000E+00  0.0000
   1.2500E+00   1.5000E+00   1.9667E-02  0.2585   1.4314E+02  0.1650   0.0000E+00  0.0000   7.7084E+02  0.0785   0.0000E+00  0.0000
   1.5000E+00   1.7500E+00   2.0886E-02  0.2673   1.3480E+02  0.1656   0.0000E+00  0.0000   6.1443E+02  0.0871   0.0000E+00  0.0000
   1.7500E+00   2.0000E+00   2.3110E-02  0.2673   8.7434E+01  0.2056   0.0000E+00  0.0000   5.7322E+02  0.0917   0.0000E+00  0.0000
   2.0000E+00   2.2500E+00   2.5058E-02  0.2674   5.6627E+01  0.2514   0.0000E+00  0.0000   6.3176E+02  0.0895   0.0000E+00  0.0000
   2.2500E+00   2.5000E+00   2.4162E-02  0.2820   7.6812E+01  0.2403   0.0000E+00  0.0000   7.9447E+02  0.0837   0.0000E+00  0.0000
   2.5000E+00   2.7500E+00   2.5271E-02  0.2887   3.7884E+01  0.3087   0.0000E+00  0.0000   4.3508E+02  0.1058   0.0000E+00  0.0000
   2.7500E+00   3.0000E+00   2.7030E-02  0.2887   2.8396E+01  0.3052   0.0000E+00  0.0000   6.6209E+02  0.0880   0.0000E+00  0.0000
   3.0000E+00   3.2500E+00   2.8766E-02  0.2887   3.5221E+01  0.3131   0.0000E+00  0.0000   6.4632E+02  0.0861   0.0000E+00  0.0000
   3.2500E+00   3.5000E+00   3.0481E-02  0.2887   1.3536E+01  0.4514   0.0000E+00  0.0000   4.4356E+02  0.1106   0.0000E+00  0.0000
   3.5000E+00   3.7500E+00   2.9148E-02  0.2939   2.5878E+01  0.3583   0.0000E+00  0.0000   3.8936E+02  0.1112   0.0000E+00  0.0000
   3.7500E+00   4.0000E+00   2.5392E-02  0.3333   2.2418E+01  0.3721   0.0000E+00  0.0000   5.0805E+02  0.0983   0.0000E+00  0.0000
   4.0000E+00   4.2500E+00   2.4063E-02  0.3418   2.4731E+01  0.3768   0.0000E+00  0.0000   3.3904E+02  0.1303   0.0000E+00  0.0000
   4.2500E+00   4.5000E+00   2.1682E-02  0.3780   3.2744E+01  0.3021   0.0000E+00  0.0000   6.3579E+02  0.0867   0.0000E+00  0.0000
   4.5000E+00   4.7500E+00   2.2637E-02  0.3780   1.9573E+01  0.4516   0.0000E+00  0.0000   3.6376E+02  0.1114   0.0000E+00  0.0000
   4.7500E+00   5.0000E+00   2.3585E-02  0.3780   3.2583E+01  0.3115   0.0000E+00  0.0000   3.7051E+02  0.1225   0.0000E+00  0.0000
   5.0000E+00   5.2500E+00   1.7918E-02  0.4375   1.3035E+01  0.5026   0.0000E+00  0.0000   3.0309E+02  0.1350   0.0000E+00  0.0000
   5.2500E+00   5.5000E+00   1.8187E-02  0.4472   1.6933E+01  0.5158   0.0000E+00  0.0000   1.8186E+02  0.1550   0.0000E+00  0.0000
